product_id;product_name;product_price;product_price_new;product_color;product_fit;product_size;product_materials;product_composition;data_scrapy
985159008;Skinny Jeans;$19.99;NaN;Dark gray;Skinny fit;"The model is 182cm/6'0"" and wears a size 33/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256001;Slim Jeans;$29.99;NaN;Black;Slim fit;"The model is 185cm/6'1"" and wears a size 31/32";Lining: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1024256002;Slim Jeans;$29.99;NaN;Light denim blue;Slim fit;"The model is 189cm/6'2"" and wears a size 31/32";Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256003;Slim Jeans;$29.99;NaN;Light denim blue;Slim fit;"The model is 189cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256004;Slim Jeans;$29.99;NaN;Denim blue;Slim fit;NaN;Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256005;Slim Jeans;$29.99;NaN;Dark blue;Slim fit;"The model is 180cm/5'11"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1024256006;Slim Jeans;$29.99;NaN;Dark denim blue;Slim fit;"The model is 188cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1024256007;Slim Jeans;$29.99;NaN;Dark gray;Slim fit;"The model is 188cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
938875001;Slim Tapered Jeans;$89.99;$29.99;Light denim blue;Slim fit;"The model is 187cm/6'2"" and wears a size 31/30";Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Cotton 99%, Spandex 1%;12/04/2022 13:40
938875002;Slim Tapered Jeans;$119.99;NaN;White;Slim fit;NaN;Shell: Recycled cotton 20%;CompositionCotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
938875007;Slim Tapered Jeans;$119.99;NaN;Black;Slim fit;NaN;Shell: Recycled cotton 21%;CompositionPocket lining: Cotton 100%Cotton 99%, Spandex 1%;12/04/2022 13:40
938875008;Slim Tapered Jeans;$119.99;NaN;Denim blue;Slim fit;"The model is 187cm/6'2"" and wears a size 31/32";Recycled cotton 20%;CompositionPocket lining: Cotton 100%Cotton 99%, Spandex 1%;12/04/2022 13:40
938875010;Slim Tapered Jeans;$119.99;NaN;Light blue;Slim fit;NaN;Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Cotton 99%, Spandex 1%;12/04/2022 13:40
938875012;Slim Tapered Jeans;$119.99;NaN;Denim blue;Slim fit;"The model is 185cm/6'1"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionCotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
938875013;Slim Tapered Jeans;$119.99;NaN;Pale denim blue;Slim fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionCotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
938875001;Slim Tapered Jeans;$89.99;$29.99;Light denim blue;Slim fit;"The model is 187cm/6'2"" and wears a size 31/30";Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Cotton 99%, Spandex 1%;12/04/2022 13:40
938875002;Slim Tapered Jeans;$119.99;NaN;White;Slim fit;NaN;Shell: Recycled cotton 20%;CompositionCotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
938875007;Slim Tapered Jeans;$119.99;NaN;Black;Slim fit;NaN;Shell: Recycled cotton 21%;CompositionPocket lining: Cotton 100%Cotton 99%, Spandex 1%;12/04/2022 13:40
938875008;Slim Tapered Jeans;$119.99;NaN;Denim blue;Slim fit;"The model is 187cm/6'2"" and wears a size 31/32";Recycled cotton 20%;CompositionPocket lining: Cotton 100%Cotton 99%, Spandex 1%;12/04/2022 13:40
938875010;Slim Tapered Jeans;$119.99;NaN;Light blue;Slim fit;NaN;Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Cotton 99%, Spandex 1%;12/04/2022 13:40
938875012;Slim Tapered Jeans;$119.99;NaN;Denim blue;Slim fit;"The model is 185cm/6'1"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionCotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
938875013;Slim Tapered Jeans;$119.99;NaN;Pale denim blue;Slim fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionCotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
1024256001;Slim Jeans;$29.99;NaN;Black;Slim fit;"The model is 185cm/6'1"" and wears a size 31/32";Lining: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1024256002;Slim Jeans;$29.99;NaN;Light denim blue;Slim fit;"The model is 189cm/6'2"" and wears a size 31/32";Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256003;Slim Jeans;$29.99;NaN;Light denim blue;Slim fit;"The model is 189cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256004;Slim Jeans;$29.99;NaN;Denim blue;Slim fit;NaN;Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256005;Slim Jeans;$29.99;NaN;Dark blue;Slim fit;"The model is 180cm/5'11"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
